date,open,high,low,close,volume,volume(KAS)
12/20/2022,0.005554,0.005735,0.005094,0.005221,545.5 K,
12/21/2022,0.005249,0.00531,0.004938,0.005149,661.3 K,
12/22/2022,0.005141,0.005761,0.00511,0.005573,543 K,
12/23/2022,0.005567,0.005795,0.005499,0.005795,547.2 K,
12/24/2022,0.005782,0.005853,0.005149,0.005153,455 K,
12/25/2022,0.005177,0.005365,0.005125,0.005226,309.5 K,
12/26/2022,0.005226,0.005388,0.005219,0.005332,208.7 K,
12/27/2022,0.005332,0.00537,0.005015,0.005075,266.3 K,
12/28/2022,0.005054,0.00517,0.004543,0.004928,436.9 K,
12/29/2022,0.004957,0.004957,0.004524,0.004758,818.2 K,
12/30/2022,0.004761,0.00492,0.004539,0.004603,384 K,
12/31/2022,0.004612,0.005141,0.004212,0.004837,483.9 K,
01/01/2023,0.004864,0.005393,0.004817,0.005314,801 K,
01/02/2023,0.005314,0.005474,0.005152,0.005209,457.8 K,
01/03/2023,0.005208,0.005344,0.005153,0.005177,284.5 K,
01/04/2023,0.00517,0.005209,0.004859,0.004987,347.5 K,
01/05/2023,0.004994,0.005049,0.004893,0.004967,358.2 K,
01/06/2023,0.004967,0.005023,0.004535,0.004544,347.1 K,
01/07/2023,0.004533,0.004791,0.004454,0.004501,401 K,
01/08/2023,0.004501,0.004581,0.004336,0.004436,331.1 K,
01/09/2023,0.004438,0.005017,0.004382,0.004809,410.6 K,
01/10/2023,0.004835,0.005041,0.004684,0.00486,652.9 K,
01/11/2023,0.00486,0.004948,0.004549,0.004638,451.1 K,
01/12/2023,0.004638,0.005031,0.004586,0.005031,321 K,
01/13/2023,0.004999,0.005629,0.004788,0.005629,587.3 K,
01/14/2023,0.005631,0.00635,0.005549,0.00602,982.9 K,
01/15/2023,0.00602,0.006487,0.005892,0.006201,912 K,
01/16/2023,0.006204,0.006204,0.005528,0.006109,584.4 K,
01/17/2023,0.006016,0.006873,0.00596,0.006676,742.2 K,
01/18/2023,0.006676,0.006747,0.006349,0.006417,767.9 K,
01/19/2023,0.006421,0.006755,0.005936,0.005955,608.1 K,
01/20/2023,0.005955,0.006292,0.005859,0.006262,723.8 K,
01/21/2023,0.00621,0.006459,0.006077,0.006402,535.7 K,
01/22/2023,0.006404,0.006493,0.006113,0.006113,525.6 K,
01/23/2023,0.006108,0.006256,0.005803,0.005957,529.2 K,
01/24/2023,0.005957,0.006512,0.005835,0.006482,557.3 K,
01/25/2023,0.006493,0.006493,0.00594,0.005957,642.4 K,
01/26/2023,0.005975,0.00629,0.005923,0.006265,453.3 K,
01/27/2023,0.006266,0.006282,0.005955,0.006167,570.4 K,
01/28/2023,0.006192,0.006273,0.005947,0.006156,566.9 K,
01/29/2023,0.006109,0.006226,0.005643,0.005698,700.4 K,
01/30/2023,0.005707,0.005979,0.00561,0.0059,538.4 K,
01/31/2023,0.005888,0.005913,0.005153,0.005552,518.9 K,
02/01/2023,0.005556,0.005748,0.005337,0.005398,787.9 K,
02/02/2023,0.005421,0.00584,0.005181,0.005744,570.5 K,
02/03/2023,0.00578,0.006137,0.005661,0.005831,801.1 K,
02/04/2023,0.005809,0.005873,0.005505,0.005617,571.8 K,
02/05/2023,0.005617,0.005894,0.005515,0.005763,555.3 K,
02/06/2023,0.005722,0.006961,0.005722,0.006567,1.1 m,
02/07/2023,0.006568,0.007489,0.006271,0.007153,1.8 m,
02/08/2023,0.00711,0.007572,0.006918,0.007433,1.8 m,
02/09/2023,0.007433,0.007557,0.007003,0.007169,1.4 m,
02/10/2023,0.007186,0.007283,0.006512,0.006589,1.1 m,
02/11/2023,0.006531,0.006767,0.006311,0.006737,1 m,
02/12/2023,0.006693,0.006779,0.006384,0.006415,527.5 K,
02/13/2023,0.006405,0.006685,0.006405,0.006534,416.1 K,
02/14/2023,0.006534,0.006539,0.006298,0.006539,540.7 K,
02/15/2023,0.006553,0.006849,0.006402,0.00651,592.4 K,
02/16/2023,0.00651,0.00718,0.006488,0.007162,630.6 K,
02/17/2023,0.007162,0.007392,0.006854,0.006856,1.1 m,
02/18/2023,0.006887,0.007619,0.006858,0.007494,835.6 K,
02/19/2023,0.007494,0.007938,0.00745,0.007738,1.1 m,
02/20/2023,0.007761,0.007873,0.007573,0.007792,946.7 K,
02/21/2023,0.007789,0.007851,0.007604,0.007667,809.7 K,
02/22/2023,0.007661,0.007714,0.006925,0.007167,840.5 K,
02/23/2023,0.007157,0.007503,0.006787,0.007051,1.1 m,
02/24/2023,0.007072,0.007488,0.006909,0.007293,803.6 K,
02/25/2023,0.00722,0.007845,0.007185,0.007752,1.1 m,
02/26/2023,0.007728,0.008473,0.007684,0.008385,1.4 m,
02/27/2023,0.008465,0.009118,0.00822,0.009009,1.8 m,
02/28/2023,0.009011,0.011535,0.008517,0.010842,2.3 m,
03/01/2023,0.010785,0.012808,0.010444,0.011178,5.7 m,
03/02/2023,0.011269,0.013304,0.011258,0.013012,4.3 m,
03/03/2023,0.013023,0.014799,0.012586,0.01424,5.3 m,
03/04/2023,0.014286,0.014448,0.011322,0.012721,6.1 m,
03/05/2023,0.012737,0.013335,0.011681,0.012204,4.4 m,
03/06/2023,0.012156,0.012595,0.01198,0.01259,1.9 m,
03/07/2023,0.012672,0.014291,0.012424,0.013953,2.2 m,
03/08/2023,0.01393,0.014344,0.012514,0.012766,3.7 m,
03/09/2023,0.012889,0.012889,0.011242,0.011588,3.7 m,
03/10/2023,0.011663,0.01184,0.009875,0.010301,4.1 m,
03/11/2023,0.010355,0.011932,0.009125,0.011873,5.3 m,
03/12/2023,0.011931,0.012957,0.011291,0.012077,4.6 m,
03/13/2023,0.012077,0.012226,0.011265,0.012035,2.7 m,
03/14/2023,0.012062,0.013396,0.012062,0.012532,2.9 m,
03/15/2023,0.012534,0.014425,0.012061,0.013972,4.6 m,
03/16/2023,0.014116,0.014116,0.012496,0.012998,4.7 m,
03/17/2023,0.013026,0.013591,0.012725,0.013452,3.4 m,
03/18/2023,0.013422,0.014447,0.013402,0.013984,3 m,
03/19/2023,0.013999,0.014306,0.013622,0.013951,3 m,
03/20/2023,0.013922,0.017394,0.013922,0.016357,2.6 m,
03/21/2023,0.016358,0.017691,0.015718,0.017052,6.3 m,
