date,purple_price,blue_price,light_blue_price,green_price,yellow_price,orange_price,red_price
2022-12-18,15602.765374991292,26268.62190933097,31238.83207589275,37149.441369026885,44178.379994423194,52537.24381866193,74298.88273805377
2022-12-19,15620.589789694675,26298.630872443933,31274.51894834054,37191.88045165399,44228.848853437536,52597.26174488786,74383.76090330798
2022-12-20,15638.431064795323,26328.668221512227,31310.239577568373,37234.3596780841,44279.36545174804,52657.33644302445,74468.7193561682
2022-12-21,15656.289212930447,26358.733977811702,31345.99398887765,37276.87907840583,44329.929825136285,52717.4679556234,74553.75815681166
2022-12-22,15674.164246744263,26388.82816263001,31381.782207583787,37319.43868272444,44380.542009403674,52777.65632526001,74638.87736544888
2022-12-23,15692.05617888797,26418.95079726654,31417.604259016178,37362.038521161834,44431.2020403714,52837.901594533076,74724.07704232367
2022-12-24,15709.965022019762,26449.101903032486,31453.46016851824,37404.67862385658,44481.90995388043,52898.203806064965,74809.35724771315
2022-12-25,15727.890788804834,26479.281501250804,31489.349961447384,37447.35902096389,44532.66578579159,52958.5630025016,74894.71804192779
2022-12-26,15745.833491915386,26509.48961325625,31525.273663175063,37490.07974265568,44583.469571985515,53018.97922651249,74980.15948531136
2022-12-27,15763.79314403062,26539.72626039538,31561.23129908674,37532.84081912052,44634.32134836268,53079.45252079074,75065.68163824105
2022-12-28,15781.769757836737,26569.991464026512,31597.222894581893,37575.64228056366,44685.221150843376,53139.98292805302,75151.28456112732
2022-12-29,15799.763346026948,26600.285245519794,31633.248475074037,37618.48415720702,44736.16901536773,53200.57049103957,75236.96831441404
2022-12-30,15817.773921301492,26630.607626257173,31669.30806599075,37661.36647928927,44787.16497789577,53261.21525251434,75322.73295857853
2022-12-31,15835.801496367592,26660.958627632386,31705.401692773612,37704.2892770657,44838.20907440733,53321.917255264765,75408.5785541314
2023-01-01,15853.846083939516,26691.33827105101,31741.529380878284,37747.252580808374,44889.301340902144,53382.67654210201,75494.50516161675
2023-01-02,15871.907696738528,26721.746577930408,31777.69115577445,37790.25642080602,44940.44181339978,53443.49315586081,75580.51284161204
2023-01-03,15889.986347492926,26752.183569699784,31813.88704294587,37833.30082736411,44991.630527939735,53504.36713939956,75666.60165472822
2023-01-04,15908.082048938024,26782.649267800156,31850.117067890358,37876.38583080482,45042.86752058134,53565.298535600305,75752.77166160964
2023-01-05,15926.194813816172,26813.143693684382,31886.381256119803,37919.511461467075,45094.15282740387,53626.28738736876,75839.02292293415
2023-01-06,15944.324654876735,26843.66686881714,31922.679633160154,37962.67774970651,45145.48648450647,53687.333737634275,75925.35549941302
2023-01-07,15962.471584876119,26874.218814674954,31959.012224551447,38005.88472589552,45196.86852800819,53748.4376293499,76011.76945179104
2023-01-08,15980.635616577756,26904.799552746183,31995.379055847785,38049.13242042323,45248.29899404801,53809.59910549236,76098.26484084646
2023-01-09,15998.816762752122,26935.409104531034,32031.780152617375,38092.42086369553,45299.77791878482,53870.81820906206,76184.84172739106
2023-01-10,16017.015036176726,26966.04749154157,32068.21554044251,38135.75008613506,45351.30533839745,53932.09498308313,76271.50017227013
2023-01-11,16035.230449636121,26996.7147353017,32104.68524491958,38179.12011818124,45402.88128908466,53993.42947060339,76358.24023636249
2023-01-12,16053.4630159219,27027.410857347193,32141.18929165907,38222.53099029024,45454.50580706515,54054.82171469438,76445.06198058047
2023-01-13,16071.712747832702,27058.135879225683,32177.727706285586,38265.98273293501,45506.17892857758,54116.27175845136,76531.96546587002
2023-01-14,16089.979658174221,27088.88982249667,32214.300514437833,38309.47537660529,45557.90068988055,54177.77964499333,76618.95075321058
2023-01-15,16108.263759759191,27119.672708731516,32250.90774176863,38353.0089518076,45609.671127252645,54239.345417463024,76706.0179036152
2023-01-16,16126.565065407409,27150.484559513476,32287.54941394494,38396.58348906526,45661.490276992416,54300.969119026944,76793.16697813052
2023-01-17,16144.883587945727,27181.325396437674,32324.225556647834,38440.1990189184,45713.358175418376,54362.65079287534,76880.3980378368
2023-01-18,16163.219340208047,27212.19524111111,32360.936195572514,38483.85557192392,45765.27485886904,54424.39048222221,76967.71114384785
2023-01-19,16181.572335035346,27243.094115152693,32397.681356428337,38527.55317865559,45817.24036370293,54486.18823030538,77055.10635731118
2023-01-20,16199.942585275647,27274.02204019319,32434.46106493877,38571.29186970392,45869.25472629851,54548.044080386375,77142.58373940784
2023-01-21,16218.330103784052,27304.979037875302,32471.27534684146,38615.071675676314,45921.317983054316,54609.9580757506,77230.14335135263
2023-01-22,16236.73490342273,27335.96512985361,32508.12422788819,38658.892627196976,45973.43017038888,54671.93025970721,77317.78525439395
2023-01-23,16255.156997060914,27366.980337794597,32545.0077338449,38702.75475490694,46025.59132474073,54733.96067558919,77405.50950981388
2023-01-24,16273.596397574922,27398.024683376665,32581.9258904917,38746.6580894641,46077.801482568444,54796.04936675332,77493.3161789282
2023-01-25,16292.053117848136,27429.098188290125,32618.87872362286,38790.602661543184,46130.06068035064,54858.19637658024,77581.20532308637
2023-01-26,16310.527170771024,27460.200874237205,32655.86625904682,38834.58850183577,46182.36895458596,54920.4017484744,77669.17700367155
