date,days_since_genesis,support_price,resistance_price,fair_price,predicted_price
2025-06-03,1304,0.5348537479976211,1.0853208429917038,0.761897578847743,0.761897578847743
2025-06-04,1305,0.5365861449638428,1.0888362087207752,0.7643653731917278,0.7643653731917278
2025-06-05,1306,0.5383228197330386,1.09236025493259,0.7668392612533707,0.7668392612533707
2025-06-06,1307,0.5400637795807396,1.0958929963905968,0.7693192533966442,0.7693192533966442
2025-06-07,1308,0.5418090317892685,1.0994344478720253,0.7718053599951956,0.7718053599951956
2025-06-08,1309,0.5435585836477399,1.102984624167887,0.774297591432347,0.774297591432347
2025-06-09,1310,0.5453124424520619,1.1065435400829786,0.7767959581010979,0.7767959581010979
2025-06-10,1311,0.5470706155049367,1.110111210435884,0.7793004704041259,0.7793004704041259
2025-06-11,1312,0.5488331101158627,1.1136876500589767,0.7818111387537896,0.7818111387537896
2025-06-12,1313,0.550599933601134,1.1172728737984219,0.7843279735721288,0.7843279735721288
2025-06-13,1314,0.5523710932838437,1.1208668965141793,0.7868509852908674,0.7868509852908674
2025-06-14,1315,0.554146596493883,1.1244697330800042,0.7893801843514138,0.7893801843514138
2025-06-15,1316,0.5559264505679437,1.1280813983834512,0.7919155812048637,0.7919155812048637
2025-06-16,1317,0.5577106628495183,1.131701907325876,0.7944571863120007,0.7944571863120007
2025-06-17,1318,0.5594992406889022,1.1353312748224371,0.7970050101432986,0.7970050101432986
2025-06-18,1319,0.5612921914431942,1.1389695158020992,0.7995590631789228,0.7995590631789228
2025-06-19,1320,0.5630895224762973,1.142616645207634,0.8021193559087314,0.8021193559087314
2025-06-20,1321,0.5648912411589209,1.1462726779956245,0.8046858988322779,0.8046858988322779
2025-06-21,1322,0.5666973548685804,1.1499376291364647,0.8072587024588115,0.8072587024588115
2025-06-22,1323,0.5685078709896002,1.153611513614365,0.8098377773072799,0.8098377773072799
2025-06-23,1324,0.570322796913113,1.1572943464273515,0.8124231339063303,0.8124231339063303
2025-06-24,1325,0.5721421400370622,1.16098614258727,0.8150147827943105,0.8150147827943105
2025-06-25,1326,0.5739659077662024,1.1646869171197882,0.8176127345192721,0.8176127345192721
2025-06-26,1327,0.5757941075121007,1.1683966850643972,0.8202169996389702,0.8202169996389702
2025-06-27,1328,0.5776267466931378,1.1721154614744145,0.822827588720866,0.822827588720866
2025-06-28,1329,0.5794638327345093,1.1758432614169858,0.825444512342129,0.825444512342129
2025-06-29,1330,0.5813053730682266,1.179580099973088,0.828067781089637,0.828067781089637
2025-06-30,1331,0.5831513751331179,1.1833259922375303,0.8306974055599787,0.8306974055599787
2025-07-01,1332,0.5850018463748297,1.1870809533189575,0.8333333963594558,0.8333333963594558
2025-07-02,1333,0.5868567942458275,1.1908449983398517,0.8359757641040834,0.8359757641040834
2025-07-03,1334,0.5887162262053974,1.194618142436535,0.838624519419592,0.838624519419592
2025-07-04,1335,0.5905801497196469,1.1984004007591715,0.8412796729414299,0.8412796729414299
2025-07-05,1336,0.592448572261506,1.2021917884717697,0.8439412353147637,0.8439412353147637
2025-07-06,1337,0.5943215013107285,1.2059923207521843,0.8466092171944803,0.8466092171944803
2025-07-07,1338,0.5961989443538928,1.2098020127921192,0.8492836292451887,0.8492836292451887
2025-07-08,1339,0.5980809088844032,1.2136208797971295,0.8519644821412212,0.8519644821412212
2025-07-09,1340,0.5999674024024916,1.2174489369866233,0.8546517865666357,0.8546517865666357
2025-07-10,1341,0.6018584324152173,1.2212861995938646,0.8573455532152159,0.8573455532152159
2025-07-11,1342,0.6037540064364694,1.2251326828659752,0.8600457927904747,0.8600457927904747
2025-07-12,1343,0.6056541319869672,1.228988402063937,0.8627525160056542,0.8627525160056542
2025-07-13,1344,0.6075588165942614,1.2328533724625947,0.8654657335837285,0.8654657335837285
2025-07-14,1345,0.6094680677927354,1.236727609350657,0.8681854562574041,0.8681854562574041
2025-07-15,1346,0.6113818931236064,1.2406111280307,0.8709116947691226,0.8709116947691226
2025-07-16,1347,0.6133003001349263,1.2445039438191687,0.8736444598710615,0.8736444598710615
2025-07-17,1348,0.6152232963815829,1.24840607204638,0.8763837623251364,0.8763837623251364
2025-07-18,1349,0.6171508894253013,1.2523175280565242,0.8791296129030018,0.8791296129030018
2025-07-19,1350,0.6190830868346445,1.2562383272076671,0.8818820223860536,0.8818820223860536
2025-07-20,1351,0.6210198961850147,1.2601684848717534,0.8846410015654299,0.8846410015654299
2025-07-21,1352,0.6229613250586549,1.2641080164346077,0.8874065612420129,0.8874065612420129
2025-07-22,1353,0.624907381044649,1.2680569372959374,0.8901787122264306,0.8901787122264306
2025-07-23,1354,0.626858071738924,1.272015262869335,0.8929574653390582,0.8929574653390582
2025-07-24,1355,0.6288134047442503,1.2759830085822803,0.8957428314100196,0.8957428314100196
2025-07-25,1356,0.6307733876702429,1.2799601898761415,0.8985348212791893,0.8985348212791893
2025-07-26,1357,0.6327380281333633,1.2839468222061798,0.9013334457961935,0.9013334457961935
2025-07-27,1358,0.6347073337569196,1.2879429210415492,0.904138715820412,0.904138715820412
2025-07-28,1359,0.6366813121710677,1.2919485018653005,0.90695064222098,0.90695064222098
2025-07-29,1360,0.6386599710128135,1.2959635801743825,0.909769235876789,0.909769235876789
2025-07-30,1361,0.6406433179260125,1.2999881714796448,0.912594507676489,0.912594507676489
2025-07-31,1362,0.6426313605613719,1.3040222913058395,0.9154264685184894,0.9154264685184894
2025-08-01,1363,0.6446241065764515,1.308065955191624,0.9182651293109615,0.9182651293109615
2025-08-02,1364,0.6466215636356645,1.3121191786895632,0.9211105009718392,0.9211105009718392
2025-08-03,1365,0.6486237394102788,1.3161819773661307,0.9239625944288211,0.9239625944288211
2025-08-04,1366,0.6506306415784183,1.320254366801713,0.9268214206193718,0.9268214206193718
2025-08-05,1367,0.6526422778250638,1.3243363625906097,0.9296869904907236,0.9296869904907236
2025-08-06,1368,0.6546586558420537,1.3284279803410368,0.9325593149998775,0.9325593149998775
2025-08-07,1369,0.6566797833280861,1.3325292356751286,0.9354384051136062,0.9354384051136062
2025-08-08,1370,0.6587056679887187,1.3366401442289404,0.9383242718084538,0.9383242718084538
2025-08-09,1371,0.660736317536371,1.3407607216524504,0.941216926070739,0.941216926070739
2025-08-10,1372,0.6627717396903244,1.3448909836095615,0.9441163788965555,0.9441163788965555
2025-08-11,1373,0.6648119421767243,1.349030945778104,0.9470226412917742,0.9470226412917742
2025-08-12,1374,0.6668569327285803,1.3531806238498378,0.9499357242720443,0.9499357242720443
2025-08-13,1375,0.6689067190857676,1.3573400335304546,0.9528556388627955,0.9528556388627955
2025-08-14,1376,0.6709613089950286,1.36150919053958,0.9557823960992388,0.9557823960992388
