date,open,high,low,close,volume
09/15/2011,5.619300,5.619300,5.619300,5.619300,0
09/16/2011,4.840000,4.840000,4.840000,4.840000,0
09/17/2011,4.820000,4.820000,4.820000,4.820000,0
09/18/2011,4.770000,4.770000,4.770000,4.770000,0
09/19/2011,5.200000,5.200000,5.200000,5.200000,0
09/20/2011,5.460000,5.460000,5.460000,5.460000,0
09/21/2011,6.111900,6.111900,6.111900,6.111900,0
09/22/2011,5.611400,5.611400,5.611400,5.611400,0
09/23/2011,5.427800,5.427800,5.427800,5.427800,0
09/24/2011,5.545100,5.545100,5.545100,5.545100,0
09/25/2011,5.468300,5.468300,5.468300,5.468300,0
09/26/2011,5.330000,5.330000,5.330000,5.330000,0
09/27/2011,4.869700,4.869700,4.869700,4.869700,0
09/28/2011,4.915600,4.915600,4.915600,4.915600,0
09/29/2011,4.772500,4.772500,4.772500,4.772500,0
09/30/2011,4.779400,4.779400,4.779400,4.779400,0
10/01/2011,5.140100,5.140100,5.140100,5.140100,0
10/02/2011,5.032400,5.032400,5.032400,5.032400,0
10/03/2011,5.027000,5.027000,5.027000,5.027000,0
10/04/2011,5.024000,5.024000,5.024000,5.024000,0
10/05/2011,4.960000,4.960000,4.960000,4.960000,0
10/06/2011,4.870000,4.870000,4.870000,4.870000,0
10/07/2011,4.734400,4.734400,4.734400,4.734400,0
10/08/2011,4.272800,4.272800,4.272800,4.272800,0
10/09/2011,4.007500,4.007500,4.007500,4.007500,0
10/10/2011,4.102900,4.102900,4.102900,4.102900,0
10/11/2011,4.100000,4.100000,4.100000,4.100000,0
10/12/2011,3.930800,3.930800,3.930800,3.930800,0
10/13/2011,4.150000,4.150000,4.150000,4.150000,0
10/14/2011,4.046200,4.046200,4.046200,4.046200,0
10/15/2011,3.987900,3.987900,3.987900,3.987900,0
10/16/2011,3.842100,3.842100,3.842100,3.842100,0
10/17/2011,3.557000,3.557000,3.557000,3.557000,0
10/18/2011,2.560000,2.560000,2.560000,2.560000,0
10/19/2011,2.419000,2.419000,2.419000,2.419000,0
10/20/2011,2.270000,2.270000,2.270000,2.270000,0
10/21/2011,2.348000,2.348000,2.348000,2.348000,0
10/22/2011,2.570000,2.570000,2.570000,2.570000,0
10/23/2011,3.158800,3.158800,3.158800,3.158800,0
10/24/2011,3.170000,3.170000,3.170000,3.170000,0
10/25/2011,2.545000,2.545000,2.545000,2.545000,0
10/26/2011,2.770000,2.770000,2.770000,2.770000,0
10/27/2011,2.773000,2.773000,2.773000,2.773000,0
10/28/2011,3.040000,3.040000,3.040000,3.040000,0
10/29/2011,3.190000,3.190000,3.190000,3.190000,0
10/30/2011,3.581100,3.581100,3.581100,3.581100,0
10/31/2011,3.270000,3.270000,3.270000,3.270000,0
11/01/2011,3.248000,3.248000,3.248000,3.248000,0
11/02/2011,3.150000,3.150000,3.150000,3.150000,0
11/03/2011,3.254300,3.254300,3.254300,3.254300,0
11/04/2011,3.152000,3.152000,3.152000,3.152000,0
11/05/2011,3.109000,3.109000,3.109000,3.109000,0
11/06/2011,2.970000,2.970000,2.970000,2.970000,0
11/07/2011,2.959600,2.959600,2.959600,2.959600,0
11/08/2011,3.006800,3.006800,3.006800,3.006800,0
11/09/2011,3.035000,3.035000,3.035000,3.035000,0
11/10/2011,2.950000,2.950000,2.950000,2.950000,0
11/11/2011,2.839900,2.839900,2.839900,2.839900,0
11/12/2011,3.080000,3.080000,3.080000,3.080000,0
11/13/2011,3.031000,3.031000,3.031000,3.031000,0
11/14/2011,2.996900,2.996900,2.996900,2.996900,0
11/15/2011,2.220000,2.220000,2.220000,2.220000,0
11/16/2011,2.329000,2.329000,2.329000,2.329000,0
11/17/2011,2.560400,2.560400,2.560400,2.560400,0
11/18/2011,2.250000,2.250000,2.250000,2.250000,0
11/19/2011,2.050000,2.050000,2.050000,2.050000,0
11/20/2011,2.195900,2.195900,2.195900,2.195900,0
11/21/2011,2.200000,2.200000,2.200000,2.200000,0
11/22/2011,2.294000,2.294000,2.294000,2.294000,0
11/23/2011,2.328900,2.328900,2.328900,2.328900,0
11/24/2011,2.332100,2.332100,2.332100,2.332100,0
11/25/2011,2.432100,2.432100,2.432100,2.432100,0
11/26/2011,2.506100,2.506100,2.506100,2.506100,0
11/27/2011,2.470000,2.470000,2.470000,2.470000,0
11/28/2011,2.479900,2.479900,2.479900,2.479900,0
11/29/2011,2.550000,2.550000,2.550000,2.550000,0
11/30/2011,2.750200,2.750200,2.750200,2.750200,0
12/01/2011,2.970100,2.970100,2.970100,2.970100,0
12/02/2011,3.060000,3.060000,3.060000,3.060000,0
12/03/2011,3.115100,3.115100,3.115100,3.115100,0
